Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025","Mar 15, 2025",harry potter magic wand,1,76.01%,"asin=""B0CHQRJC1M""",-,No Portfolio,Manual product targeting,wand PT,INR,27,183,14.7500%,Rs.83.45,Rs.3.0907,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter magic wand,1,76.01%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,29,618,4.6900%,Rs.70.74,Rs.2.4393000000000002,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter gifts,9,2.41%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,314,32506,0.9700%,Rs.731.0,Rs.2.3280000000000003,5,Rs.4127.97,17.7100%,5.65,1.5900%
"Feb 1, 2025","Mar 15, 2025",harry potter gifts,9,2.41%,"asin-expanded=""B08GYGJGFM""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,5,859,0.5800%,Rs.7.81,Rs.1.5619999999999998,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter gifts,9,2.41%,*,-,No Portfolio,SPA | B0CLLT71RW | ALL | VISIBILITY | DSTM 653b7a,Fusked - Action Dress Ups & Accessories,INR,11,598,1.8400%,Rs.22.03,Rs.2.0027,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter gifts,9,2.41%,"asin-expanded=""B0BDX96L71""",-,No Portfolio,Manual product targeting,price targeting,INR,1,1,100.0000%,Rs.5.69,Rs.5.69,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B0C5TRWBYM""",-,No Portfolio,Manual product targeting,price targeting,INR,7,77,9.0900%,Rs.20.22,Rs.2.8886000000000003,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,harry potter wand,PHRASE,No Portfolio,manual wands (light+normal),Light wands,INR,2,344,0.5800%,Rs.2.76,Rs.1.38,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B09GB9RCHT""",-,No Portfolio,Manual product targeting,price targeting,INR,6,30,20.0000%,Rs.19.71,Rs.3.285,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,harry potter light wands,BROAD,No Portfolio,manual_KT_lightwands_vt_test-19-09,lightwands_vt,INR,27,1827,1.4800%,Rs.27.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin=""B09HXJJ8TY""",-,No Portfolio,Manual product targeting,wand PT,INR,201,2670,7.5300%,Rs.610.27,Rs.3.0362,6,Rs.5062.72,12.0500%,8.30,2.9900%
"Feb 1, 2025","Mar 15, 2025",harry potter wand,3,15.68%,"asin-expanded=""B08GYGJGFM""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,2,44,4.5500%,Rs.2.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
